"sample_date","approved_site_name","latitude","longitude","location_type","disease_present","pisaster_ochraceus","pycnopodia_helianthoides","pisaster_giganteus","pisaster_brevispinus","evasterias","patiria","strongylocentrotus_purpuratus","species_no_disease_evident","species_disease_evident","name","affiliation","additional_information","add_to_map"
"2015-02-10","San Francisco ST","37.734675","-122.6166","semi muddy bottom with sand","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Sergei E Tavasieff",,"This years crab season that started November 15 2014 revealed a profound lack of sea stars. It would be normal to see 20 to 30 pisaster brevispinis or pink stars during the day. This year has only produced 4. During the months of November and December no sea stars were observed. In January 3 stars were observed and were about 4"" point to point measured from longest tip to longest tip. These 3 stars were without any signs of WSS. In February I observed 1 sea star of the species mentioned above and noticed that it was in the stages of WSS with one leg missing and noticable degradation of the surrounding tissue where the leg was missing. I do have pictures and will try to send them. To this date I have not seen any stars of any species in my crab traps. This is unusual since the type of bait I am using will produce numerous stars, as a rule. ","yes"
"2013-12-15","Pacifica ST","37.6805","-122.6315","subtidal","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Sergei E Tavasieff","Commercial Crab Fisherman","During the month of December 2013 it became apparent there was something going on with the pink stars coming up in and on the traps. They looked emaciated and were actually falling apart. At first I was attributing it to a star that had a trap land on it and maybe some predation that occurs from crabs. But; this was something else.  I received an e-mail from Thank You Oceans explaining there was a sea star withering event taking place in California. I contacted Pete Ramondi and told him of my findings. I had several pieces of pink star that were frozen for his investigation. It seemed these samples were not needed and I discarded them. I did; however; collect a few samples a few months ago; during April; and have them frozen. These samples seem to have survived even with only two legs intact but the body seems normal.  It became difficult to collect any samples at all since there now are very few stars to be found; period. I even tried hang bait; fish heads; and still no stars.  I guess the clams and moon snails will be happy about that. LOL From conversations with other crabbers in the area from Pedro Point to Flyshaker's and out to 7 miles; there are little to very few stars that appear healthy at this time.  The event seems to have passed and I did manage to get one healthy pink star on my last pull that was in late May 2014.  That's it for now. Hope we can find what is going on.","yes"
"2013-10-02","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","yes","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE","Neil McDaniel",,,"yes"
"2013-10-24","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","unknown sea star","Solaster spp","Neil McDaniel",,,"yes"
"2014-05-08","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","species not observed","species not observed","no","species not observed","species not observed","species not observed","Crossaster papposus; Dermasterias imbricata; Henricia spp; Mediaster aequalis; Orthasterias koehleri; Pteraster spp","Luidia spp","Neil McDaniel",,,"yes"
"2014-06-01","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","species not observed","species not observed","no","species not observed","species not observed","species not observed","Dermasterias imbricata; Mediaster aequalis; Orthasterias koehleri","Solaster spp","Neil McDaniel",,,"yes"
"2014-07-13","9 Mile Point","49.6033124","-123.79051","subtidal","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Mediaster aequalis; Orthasterias koehleri; Pteraster spp","NONE","Neil McDaniel",,,"yes"
"2014-07-22","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Mediaster aequalis; Pteraster spp","Crossaster papposus; Pteraster spp; Solaster spp","Neil McDaniel",,,"yes"
"2014-08-30","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","Crossaster papposus","Neil McDaniel",,,"yes"
"2016-07-11","9 Mile Point","49.6033124","-123.79051","subtidal","yes","species not observed","no","species not observed","species not observed","species not observed","species not observed","species not observed","Crossaster papposus; Dermasterias imbricata; Henricia spp.; Orthasterias koehleri; Pteraster tesselatus; Solaster spp.; Lophaster spp.; Mediaster aequalis; Stylasterias forreri","Mediaster aequalis; Luidia foliolata","Neil McDaniel","Neil McDaniel Photography and Cinematography","Habitat sloping sand silt bay transitioning to a steep bedrock wall at the west side. Minimum water temp at 20 m depth 12.5C. Current status Luidia has made a surprising recovery here and approx. 30 specimens were observed; most around 30 cm in diam. Pycnopodia has not fared so well and is still a rare sight. A few small specimens were observed; the largest about 20 cm diam. Other stars such as Mediaster; Lophaster; Orthasterias; Pteraster; Henricia; Dermasterias; and Crossaster are present in modest numbers on the rocky slopes. One small Solaster dawsoni was found. One Stylasterias was observed. The bad news was that I found one Mediaster and one small Luidia with obvious signs of SSWD. So we are not out of the woods yet.. Entered by MD from email.","yes"
"2015-06-03","Abalobadiah Creek","39.5690643","-123.77182","intertidal monitoring site","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","no","Henricia spp.; Leptasterias spp.;","NONE (no additional sea stars observed showing disease symptoms);","Melissa Redfield","MARINe (UCSC)","Biodiversity survey.","yes"
"2014-02-13","Abalone Cove","33.7377766","-118.37612","rocky intertidal","high","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)",,"MARINe (UCSC)",,"yes"
"2014-11-07","Abalone Cove","33.7377766","-118.37612","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Ron Kacmarcik",,"I only found one adult ochre sea star while surveying Abalone Cove during a -0.8 low tide. I didn't see any indication of wasting syndrome on the sea star but I typically would have found the entire area covered with sea stars during this low tide.  I spent time specifically looking for juvenile sea stars but didn't see any.  A marine biology class from Whittier College was doing a general survey at the same time I was out there and one of them saw a dead juvenile but I didn't see it to confirm.  There were many purple and red sea urchins covering the area.  The sea plants that cover the intertidal rocks were all bleached white.  I'll send a picture since I don't know the names of the plants.","yes"
"2015-08-02","Abalone Cove","33.7377766","-118.37612","rocky intertidal","yes","no","species not observed","species not observed","species not observed","species not observed","yes","no","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Bruno Pernet","CSU Long Beach","Saw a total of nine juveniles in 45 minutes. Only one had signs of disease. I have sent photos of the diseased star.","yes"
"2016-12-14","Abalone Cove","33.7377766","-118.37612","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","no","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Ronald Kacmarcik",,"Thirty minute wandering search just before sunset during -1.6 low tide. The offshore giant kelp forest has extended its foothold into the tidepool regions which complicated observations by covering many of the rocky pools where seastars used to be found. Only three Pisaster ochraceus were observed one of which has a potential lesion mark (photo to be sent). Also saw some type of brittle star but it crawled under a huge black sea hare before I could get a better identification.","yes"
"2013-12-03","Abalone Cove","33.7377766","-118.37612","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Ron Kacmarcik",,,"yes"
"2014-03-12","Abandoned Wharf; Keystone; Whidbey Island","48.157874","-122.66839","subtidal","yes","species not observed","yes","species not observed","species not observed","yes","species not observed","species not observed","Dermasterias imbricata","NONE (no additional sea stars observed showing disease symptoms)","Lindsey Eggers Damazo","Loma Linda University",,"yes"
"2014-07-10","Active Cove","48.7842","-122.9647","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Henricia spp.",,"Christine Green",NULL,"Entered by Laura Anderson","yes"
"2013-11-26","Agate Beach","41.140772","-124.14777","sandy beach","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Dermasterias imbricata","NONE (no additional sea stars observed showing disease symptoms)","Steve Simmons","Redwood Parks Association",,"yes"
"2015-05-18","Outer Bay; Lopez Island","48.4312109","-122.87962","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Henricia spp.; Leptasterias spp.;","NONE (no additional sea stars observed showing disease symptoms);","Jill Rain",,,"yes"
"2018-08-08","Alberto Islands","55.537412","-133.182272","subtidal","yes","yes","yes","species not observed","no","yes","no","species not observed","Dermasterias imbricata; Henricia spp.;","NONE (no additional sea stars observed showing disease symptoms);","Ashley Bolwerk","University of Alaska Fairbanks; Eckert Lab; APECS project","No photos were taken; but approximately 25% of pisaster o. and pycnopodia h. observed were in stage 3-4 of wasting syndrome. Less than 10% of evasterias were wasting. No wasting syndrome was noted on a collection trip at this same site in June 2018.","yes"
"2013-12-03","Alder Creek Landslide","35.856259","-121.41371","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","no","species not observed","Leptasterias spp","NONE (no additional sea stars observed showing disease symptoms)",,"MARINe (UCSC)",,"yes"
"2015-01-20","Alder Creek Landslide","35.856259","-121.41371","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","no","Leptasterias spp.;","NONE (no additional sea stars observed showing disease symptoms);","Melissa Redfield","MARINe (UCSC)","Only one P. ochraceus (~120mm) observed and from a distance so couldn't get close enough to check for lesions. One juvenile Leptasterias observed, appeared healthy.","yes"
"2016-12-12","Alder Creek; Duxbury","37.8974255","-122.71069","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Henricia spp.;","NONE (no additional sea stars observed showing disease symptoms);","Monica Moritsch","UCSC","MARINe site not sampled; timed search only. 6 healthy adult P ochraceus observed sizes ranging 70-110 mm radius. 2 samplers for 3 hours. Datasheet for timed search sent. Z. Zilz visited site at same time in 2015; found over 20 Pisaster ochraceus in a 30x30 rocky plot. This time we searched all major rock outcroppings from the parking lot path to Duxbury Point and found 6 total P. ochraceus. Entered by MD.","yes"
"2015-06-06","Aleck Bay; Lopez Island","48.42819","-122.86122","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jill Rain",,,"yes"
"2014-07-14","Aleck Bay; Lopez Island","48.42819","-122.86122","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jill Rain",NULL,NULL,"yes"
"2013-12-02","Alegria","34.467137","-120.27818","rocky intertidal","high","yes","no","species not observed","no","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Steve Lee","MARINe (UCLA)",,"yes"
"2014-02-26","Alegria","34.467137","-120.27818","rocky intertidal","high","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing NO disease symptoms)",,"MARINe (UCLA)",,"yes"
"2014-12-06","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)"," ","yes"
"2015-01-22","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2015-03-19","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","no","species not observed","species not observed","species not observed","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2015-05-22","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2015-12-09","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Melissa Redfield","MARINe (UCSC)","10 healthy adults observed.","yes"
"2016-02-20","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Melissa Redfield","MARINe (UCSC)","Biodiversity survey","yes"
"2016-03-10","Alegria","34.467137","-120.27818","rocky intertidal","yes","no","species not observed","species not observed","species not observed","species not observed","yes","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2016-05-23","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2017-05-29","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2017-12-04","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCLA)",NULL,"yes"
"2018-02-26","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2018-12-07","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","no","species not observed","species not observed","species not observed","species not observed","NONE","NONE",NULL,"MARINe (UCSC)",NULL,"yes"
"2018-05-18","Alegria","34.467137","-120.27818","rocky intertidal","no","no","species not observed","no","species not observed","species not observed","no","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2017-06-11","Alert Bay","50.592603","-126.93961","subtidal","no","species not observed","no","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Anton North",,"https://goo.gl/photos/XB6L7T73QYWysNj46. See this shared web album for photos of the sea stars","yes"
"2017-06-12","Alert Bay","50.592603","-126.93961","subtidal","no","species not observed","no","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Anton North",,"https://goo.gl/photos/XB6L7T73QYWysNj46. See this shared web album for photos of the sea stars","yes"
"2014-10-24","Aleutkina Bay","56.997618","-135.28287","rocky intertidal","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Dermasterias imbricata; Solaster spp.","NONE (no additional sea stars observed showing disease symptoms)","Lynn Wilbur","University of Aberdeen",NULL,"yes"
"2014-05-18","South Alki Large Jetty","47.580953","-122.40814","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE","Danica Sheridan",,,"yes"
"2016-01-10","Constellation Point","47.572835","-122.41532","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Leo Shaw","Seattle Aquarium","South Side of breakwater at Alki Beach West Seattle WA. 11 healthy Pisaster o. observed. 2 Pisaster with SSWD observed. Temp 35 deg f, clear sky, calm wind minus 2' tide. This is an intertidal site. Numbers of Pisaster o. here vary greatly from season to season. Spring 2015 saw a high of 95 healthy Pisaster o. with no SSWD. This Jan 10th 2016 is the low number since then. I will be checking again in May and June to see if this pattern repeats itself.","yes"
"2013-11-05","Alki Beach Constellation MR","47.586139","-122.40347","unknown","no","no","no","species not observed","species not observed","no","species not observed","species not observed","NONE","NONE","Leo Shaw",,,"yes"
"2018-03-21","Alki Point; Seattle ST","47.580231","-122.41334","subtidal","no","species not observed","no","species not observed","no","species not observed","species not observed","species not observed","Crossaster papposus; Dermasterias imbricata; Henricia spp.; Solaster spp.;","NONE (no additional sea stars observed showing disease symptoms);","Dale Dickinson",,"Observed at 30-75 fsw depth. Substrate of fine-med.fine sand with current ripples between 15 and 45 fsw. 7 @ Pycnopodia; 8-12 inch diameter. 2 show 2-5 arms of dissimilar length. 4 Solaster stimpsoni; < 6 inch diameter. 3 Pisaster brevispinus; < 8 inch diameter. 2 Crossaster; ~ 2 inch diameter. 12 Dermasteria; 3-8 inch diameter. 1 Henricia; < 1 inch diameter.","yes"
"2015-06-02","Alki Point Beach","47.575","-122.419","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Leo Shaw","Seattle Aquarium","Breakwater is composed of large boulders and is intertidal. Only the south side of the breakwater was surveyed. Pisaster ochraceus lives on the boulders which have barnacles, sea anemones and other marine inverts attached. In 2014 the SSWD incidence on the breakwater was over 90%. On June 2 2015 95 healthy Pisaster o. were observed with no SSWD observed. Most stars had ray length of 3 inches or less..no tiny stars were seen. ","yes"
"2015-11-24","Alki Point Beach","47.575","-122.419","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Leo Shaw","Seattle Aquarium","12 healthy Pisaster ochraceus were counted on the south side of the breakwater which is completely exposed at low tide. Tide was minus 1.9'. 9:30PM. One disarticulated ray was found but had no signs of SSWD. The population of Pisaster o. has varied widely in the last year from a high of 95 healthy with 0 SSWD in Spring of 2015 to current 12 healthy. SSWD rates have varied widely also. It is not known if the sea stars are migrating to/from deeper water or dying or a combination. Predation is not likely due to location and lack of any observation of predation at this site by gulls or other animals..but it is possible.","yes"
"2014-06-26","Alki Point Beach","47.575","-122.419","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Joel Elliott","University of Puget Sound",NULL,"yes"
"2013-11-13","Alki Junkyard","47.580231","-122.41334","unknown","yes","species not observed","yes","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","Solaster spp","Joshua Sera",,,"yes"
"2014-07-13","Alki Point Beach","47.575","-122.419","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Dennis Paulson","Slater Museum of Natural History, University of Puget Sound","Glaucous-winged Gulls and Urticina coriacea eating detached Pisaster ochraceus arms","yes"
"2013-11-13","Alki Point; Seattle ST","47.580231","-122.41334","subtidal","yes","species not observed","yes","species not observed","no","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","Solaster spp.","Joshua Sera",,,"yes"
"2014-10-25","Allyn Town Dock","47.383227","-122.8265","dock","no","no","species not observed","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Mark Nayer",NULL,"photos at seastarwastingsyndrome.shutterfly.com. random count on dock pilings- 323 juvenile to small sea stars of at least 3 species: P. ochraceus; E. troschelii; P. brevispinus Melissa Minor has some photos and ID's. tried to submit this on the juvenile site but I am not sure I was successful.","yes"
"2014-11-15","Allyn Town Dock","47.383227","-122.8265","dock","yes","yes","species not observed","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Mark Nayer",NULL,"photos available at seastarwastingsyndrome.shutterfly.com. P. ochraceus= 79- <1.5 cm radius; 99- 1.5cm to 5cm radius; 1- 6cm to 10cm radius. E. troschelii= 52-<1.5 cm radius; 63- 1.5 cm to 5 cm radius; 2 6cm to 10 cm radius. unidentified= 19- <1.5 cm radius","yes"
"2014-12-14","Allyn Town Dock","47.383227","-122.8265","dock","yes","no","species not observed","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,"photos available at seastarwastingsyndrome.shutterfly.com. ","yes"
"2015-01-12","Allyn Town Dock","47.383227","-122.8265","dock","no","no","no","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2015-02-09","Allyn Town Dock","47.383227","-122.8265","dock","yes","yes","no","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,"photos available at seastarwastingsyndrome.shutterfly.com. ","yes"
"2015-03-12","Allyn Town Dock","47.383227","-122.8265","dock","yes","yes","species not observed","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2015-04-15","Allyn Town Dock","47.383227","-122.8265","dock","no","no","species not observed","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2015-05-13","Allyn Town Dock","47.383227","-122.8265","dock","no","no","species not observed","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2015-10-07","Allyn Town Dock","47.383227","-122.8265","dock","no","no","species not observed","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2015-12-14","Allyn Town Dock","47.383227","-122.8265","dock","yes","yes","no","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2016-02-15","Allyn Town Dock","47.383227","-122.8265","dock","no","no","species not observed","species not observed","no","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2013-12-14","Allyn Town Dock","47.383227","-122.8265","dock","yes","species not observed","yes","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Mark Nayer",,,"yes"
"2014-01-25","Allyn Town Dock","47.383227","-122.8265","dock","yes","species not observed","no","species not observed","no","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Mark Nayer",,,"yes"
"2015-03-12","Allyn Town Dock","47.383227","-122.8265","dock","yes","yes","species not observed","species not observed","species not observed","no","species not observed","species not observed","Unknown sea star","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,"Entered by Laura Anderson.","yes"
"2015-04-15","Allyn Town Dock","47.383227","-122.8265","dock","no","no","no","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,"Entered by Laura Anderson.","yes"
"2015-05-13","Allyn Town Dock","47.383227","-122.8265","dock","no","no","species not observed","species not observed","no","no","species not observed","species not observed","Unknown sea star","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,"2 healthy unIDed stars. Entered by Laura Anderson.","yes"
