"","X.1","X","longitude","latitude","begin","end","ID","season","year"
"16",16,16,-119.69602,34.0313,"2005-08-31","2005-11-14","doi:10.6085/AA/PELXXX_015ADCP015R00_20050831.50.8",3,2005
"17",17,17,-120.48605,34.47385,"2004-02-12","2004-05-05","doi:10.6085/AA/JALXXX_015ADCP015R00_20040212.50.1",1,2004
"18",18,18,-119.84155,34.066,"2005-09-12","2005-12-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20050912.50.1",3,2005
"19",19,19,-119.85566,33.96617,"2005-12-08","2006-03-13","doi:10.6085/AA/MORXXX_015ADCP015R00_20051208.50.3",3,2006
"20",20,20,-120.6268,34.726483,"2000-10-04","2000-11-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20001004.50.1",3,2000
"21",21,21,-122.1579,36.9729,"2006-11-30","2007-02-14","doi:10.6085/AA/SHB001_021ADCP020R00_20061130.50.1",3,2007
"22",22,22,-121.9448,36.558,"2000-05-15","2000-06-17","doi:10.6085/AA/SWC001_022ADCP021R00_20000515.50.2",3,2000
"23",23,23,-119.69602,34.0313,"2004-10-11","2004-12-20","doi:10.6085/AA/PELXXX_015ADCP015R00_20041011.50.9",3,2004
"24",24,24,-122.15845,36.972121,"2002-07-07","2002-09-18","doi:10.6085/AA/SHB001_021ADCP020R00_20020705.50.4",2,2002
"25",25,25,-122.15845,36.972121,"2006-06-02","2006-08-18","doi:10.6085/AA/SHB001_021ADCP020R00_20060602.50.4",2,2006
"26",26,26,-124.126332,44.2536,"2005-06-15","2005-08-11","doi:10.6085/AA/SH15CX_015ADCP014R00_20050615.50.4",2,2005
"27",27,27,-121.898647,36.62185,"2004-01-21","2004-04-19","doi:10.6085/AA/HMS001_020ADCP019R00_20040121.50.2",1,2004
"28",28,28,-120.63583,34.86919,"2008-02-19","2008-05-16","doi:10.6085/AA/PTSXXX_015ADCP015R00_20080219.50.1",1,2008
"29",29,29,-124.1017,44.505,"2004-07-09","2004-09-09","doi:10.6085/AA/SR15XX_015ADCP014R00_20040709.50.1",2,2004
"30",30,30,-121.898647,36.62185,"2001-07-03","2001-09-12","doi:10.6085/AA/HMS001_020ADCP019R00_20010703.50.4",2,2001
"31",31,31,-119.84111,34.06683,"2007-11-28","2008-03-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20071128.50.3",3,2008
"32",32,32,-121.898647,36.62185,"2008-04-21","2008-07-15","doi:10.6085/AA/HMS001_020ADCP019R00_20080421.50.2",2,2008
"33",33,33,-121.898647,36.62185,"2001-09-12","2001-12-06","doi:10.6085/AA/HMS001_020ADCP019R00_20010912.50.3",3,2001
"34",34,34,-121.9448,36.558,"2007-03-14","2007-06-06","doi:10.6085/AA/SWC001_022ADCP021R00_20070314.50.2",1,2007
"35",35,35,-124.100933,44.4991,"2005-06-22","2005-08-12","doi:10.6085/AA/SR15CX_015ADCP014R00_20050622.50.2",2,2005
"36",36,36,-121.8996,36.6214,"2004-10-09","2005-01-04","doi:10.6085/AA/HMS001_020ADCP019R00_20041008.50.1",3,2004
"37",37,37,-120.6276,34.72602,"2006-03-30","2006-06-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20060330.50.4",1,2006
"38",38,38,-120.6276,34.72602,"2000-07-13","2000-10-04","doi:10.6085/AA/PURXXX_015ADCP015R00_20000713.50.3",2,2000
"39",39,39,-119.69602,34.0313,"2004-10-11","2004-12-20","doi:10.6085/AA/PELXXX_015ADCP015R00_20041011.50.10",3,2004
"40",40,40,-124.126832,44.2521,"2001-07-07","2001-09-21","doi:10.6085/AA/SH15CX_015ADCP014R00_20010707.50.4",2,2001
"41",41,41,-121.898647,36.62185,"2006-08-30","2006-12-01","doi:10.6085/AA/HMS001_020ADCP019R00_20060830.50.2",3,2006
"42",42,42,-124.0574,44.8565,"2005-08-12","2005-09-03","doi:10.6085/AA/LB15CX_015ADCP014R00_20050812.50.3",2,2005
"43",43,43,-121.9448,36.558,"2001-04-16","2001-06-21","doi:10.6085/AA/SWC001_022ADCP021R00_20010416.50.3",1,2001
"44",44,44,-122.15845,36.972121,"2003-01-15","2003-04-10","doi:10.6085/AA/SHB001_021ADCP020R00_20030115.50.3",3,2003
"45",45,45,120.352284,34.059275,"2008-04-03","2008-07-02","doi:10.6085/AA/CUYXXX_015ADCP015R00_20080403.50.7",1,2008
"46",46,46,-120.6276,34.72602,"2004-02-12","2004-05-05","doi:10.6085/AA/PURXXX_015ADCP015R00_20040212.50.4",1,2004
"47",47,47,-121.8996,36.6214,"2000-06-01","2000-07-12","doi:10.6085/AA/HMS001_020ADCP019R00_20000601.50.1",2,2000
"48",48,48,-120.6276,34.72602,"2007-03-05","2007-05-26","doi:10.6085/AA/PURXXX_015ADCP015R00_20070305.50.3",1,2007
"49",49,49,-121.898647,36.62185,"2003-10-24","2004-01-21","doi:10.6085/AA/HMS001_020ADCP019R00_20031024.50.2",3,2003
"50",50,50,-120.6276,34.72602,"2000-03-10","2000-05-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20000310.50.2",1,2000
"51",51,51,-120.6276,34.72602,"2002-08-29","2002-11-20","doi:10.6085/AA/PURXXX_015ADCP015R00_20020829.50.3",3,2002
"52",52,52,-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.6",1,2005
"53",53,53,-122.15845,36.972121,"2003-04-29","2003-07-27","doi:10.6085/AA/SHB001_021ADCP020R00_20030429.50.3",2,2003
"54",54,54,-121.9448,36.558,"2006-07-05","2006-09-29","doi:10.6085/AA/SWC001_022ADCP021R00_20060705.50.2",2,2006
"55",55,55,-124.075676,44.8417,"2002-05-13","2002-07-04","doi:10.6085/AA/FC30CX_030ADCP029R00_20020513.50.2",2,2002
"56",56,56,-122.08045,36.943421,"2002-01-24","2002-04-16","doi:10.6085/AA/TPT001_018ADCP018R00_20020124.50.3",1,2002
"57",57,57,-121.898647,36.62185,"2004-07-13","2004-10-09","doi:10.6085/AA/HMS001_020ADCP019R00_20040713.50.4",2,2004
"58",58,58,-122.0799,36.9442,"2005-04-10","2005-07-11","doi:10.6085/AA/TPT001_018ADCP018R00_20050407.50.1",1,2005
"59",59,59,120.352284,34.059275,"2008-04-03","2008-07-02","doi:10.6085/AA/CUYXXX_015ADCP015R00_20080403.50.5",1,2008
"60",60,60,-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.12",2,2005
"61",61,61,-120.63583,34.86919,"2007-03-05","2007-06-10","doi:10.6085/AA/PTSXXX_015ADCP015R00_20070305.50.4",1,2007
"62",62,62,-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.9",1,2005
"63",63,63,-120.63535,34.869817,"2002-04-23","2002-06-12","doi:10.6085/AA/PTSXXX_015ADCP015R00_20020423.50.1",1,2002
"64",64,64,-122.08045,36.943421,"2009-08-12","2009-11-10","doi:10.6085/AA/TPT001_018ADCP018R00_20090812.50.3",3,2009
"65",65,65,-120.12842,33.89511,"2007-11-15","2008-02-27","doi:10.6085/AA/SRSXXX_015ADCP015R00_20071115.50.8",3,2008
"66",66,66,-121.9448,36.5589,"2005-09-28","2005-12-29","doi:10.6085/AA/SWC001_022ADCP021R00_20050928.50.1",3,2005
"67",67,67,-122.08045,36.943421,"2005-04-10","2005-07-11","doi:10.6085/AA/TPT001_018ADCP018R00_20050407.50.2",1,2005
"68",68,68,-119.69665,34.03065,"2002-10-17","2003-01-04","doi:10.6085/AA/PELXXX_015ADCP015R00_20021017.50.2",3,2002
"69",69,69,-124.102737,44.505,"2004-07-09","2004-09-09","doi:10.6085/AA/SR15XX_015ADCP014R00_20040709.50.3",2,2004
"70",70,70,-119.85566,33.96617,"2007-04-27","2007-07-23","doi:10.6085/AA/MORXXX_015ADCP015R00_20070427.50.2",2,2007
"71",71,71,-124.100933,44.4991,"2005-08-12","2005-09-13","doi:10.6085/AA/SR15CX_015ADCP014R00_20050812.50.2",2,2005
"72",72,72,-120.6276,34.72602,"2000-03-10","2000-05-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20000310.50.4",1,2000
"73",73,73,-121.898647,36.62185,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.3",3,2006
"74",74,74,-124.025515,45.0019,"2001-04-20","2001-07-09","doi:10.6085/AA/CH15CX_015ADCP014R00_20010420.50.4",1,2001
"75",75,75,-121.9448,36.558,"2006-07-05","2006-09-29","doi:10.6085/AA/SWC001_022ADCP021R00_20060705.50.3",2,2006
"76",76,76,-124.14023,44.243,"2002-05-14","2002-07-05","doi:10.6085/AA/SH30CX_030ADCP029R00_20020514.50.4",2,2002
"77",77,77,-122.08045,36.943421,"2004-01-27","2004-04-24","doi:10.6085/AA/TPT001_018ADCP018R00_20040127.50.4",1,2004
"78",78,78,-124.1196,44.32,"2005-08-09","2005-09-06","doi:10.6085/AA/YB15CX_015ADCP014R00_20050809.50.1",2,2005
"79",79,79,-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.12",1,2005
"80",80,80,-121.898647,36.62185,"2003-10-24","2004-01-21","doi:10.6085/AA/HMS001_020ADCP019R00_20031024.50.5",3,2003
"81",81,81,-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.11",2,2005
"82",82,82,-119.931633,34.42485,"1999-08-17","1999-09-06","doi:10.6085/AA/ELLXXX_015ADCP015R00_19990817.50.1",2,1999
"83",83,83,-121.8996,36.6214,"2002-08-29","2002-11-04","doi:10.6085/AA/HMS001_020ADCP019R00_20020829.50.1",3,2002
"84",84,84,-120.12842,33.89511,"2007-11-15","2008-02-27","doi:10.6085/AA/SRSXXX_015ADCP015R00_20071115.50.4",3,2008
"85",85,85,-122.0799,36.9442,"2005-01-12","2005-04-03","doi:10.6085/AA/TPT001_018ADCP018R00_20050110.50.1",3,2005
"86",86,86,-124.102233,44.4994,"2002-06-27","2002-09-07","doi:10.6085/AA/SR15CX_015ADCP014R00_20020627.50.2",2,2002
"87",87,87,-120.63535,34.869817,"2003-03-12","2003-05-23","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030312.50.1",1,2003
"88",88,88,-120.28998,34.46085,"2010-07-26","2011-01-10","doi:10.6085/AA/ALEXXX_015ADCP015R00_20100726.50.1",3,2010
"89",89,89,-121.898647,36.62185,"2001-05-04","2001-07-03","doi:10.6085/AA/HMS001_020ADCP019R00_20010504.50.3",2,2001
"90",90,90,-121.9448,36.5589,"2004-07-09","2004-10-12","doi:10.6085/AA/SWC001_022ADCP021R00_20040709.50.1",2,2004
"91",91,91,-120.6276,34.72602,"2001-05-11","2001-07-24","doi:10.6085/AA/PURXXX_015ADCP015R00_20010511.50.3",2,2001
"92",92,92,-121.9448,36.558,"2004-01-16","2004-04-11","doi:10.6085/AA/SWC001_022ADCP021R00_20040116.50.4",3,2004
"93",93,93,-124.120552,44.32,"2005-04-21","2005-06-08","doi:10.6085/AA/YB15CX_015ADCP014R00_20050421.50.3",1,2005
"94",94,94,-120.63583,34.86919,"2004-08-19","2004-11-13","doi:10.6085/AA/PTSXXX_015ADCP015R00_20040819.50.2",3,2004
"95",95,95,-120.63535,34.869817,"2006-03-30","2006-06-12","doi:10.6085/AA/PTSXXX_015ADCP015R00_20060330.50.1",1,2006
"96",96,96,-119.85566,33.96617,"2004-12-01","2005-02-24","doi:10.6085/AA/MORXXX_015ADCP015R00_20041201.50.3",3,2005
"97",97,97,-120.12842,33.89511,"2007-08-06","2007-11-15","doi:10.6085/AA/SRSXXX_015ADCP015R00_20070806.50.8",3,2007
"98",98,98,-121.898647,36.62185,"2006-12-01","2007-02-09","doi:10.6085/AA/HMS001_020ADCP019R00_20061201.50.4",3,2007
"99",99,99,-120.6276,34.72602,"2001-02-15","2001-05-11","doi:10.6085/AA/PURXXX_015ADCP015R00_20010215.50.2",1,2001
"100",100,100,-119.69602,34.0313,"2007-09-07","2007-11-28","doi:10.6085/AA/PELXXX_015ADCP015R00_20070907.50.6",3,2007
"101",101,101,-121.8996,36.6214,"2000-09-21","2000-11-21","doi:10.6085/AA/HMS001_020ADCP019R00_20000920.50.1",3,2000
"102",102,102,-119.69602,34.0313,"2003-05-12","2003-07-22","doi:10.6085/AA/PELXXX_015ADCP015R00_20030512.50.5",2,2003
"103",103,103,-121.8996,36.6214,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.1",3,2006
"104",104,104,-124.126832,44.2521,"2001-05-05","2001-07-07","doi:10.6085/AA/SH15CX_015ADCP014R00_20010505.50.2",2,2001
"105",105,105,-119.69602,34.0313,"2004-07-13","2004-10-08","doi:10.6085/AA/PELXXX_015ADCP015R00_20040713.50.6",2,2004
"106",106,106,-119.69602,34.0313,"2008-03-11","2008-06-16","doi:10.6085/AA/PELXXX_015ADCP015R00_20080311.50.6",1,2008
"107",107,107,-120.4871,34.47344,"2002-01-17","2002-04-02","doi:10.6085/AA/JALXXX_015ADCP015R00_20020117.50.4",3,2002
"108",108,108,-120.12842,33.89511,"2005-04-21","2005-07-16","doi:10.6085/AA/SRSXXX_015ADCP015R00_20050421.50.9",2,2005
"109",109,109,-120.6276,34.72602,"2007-11-05","2008-02-19","doi:10.6085/AA/PURXXX_015ADCP015R00_20071105.50.1",3,2007
"110",110,110,-120.6276,34.72602,"2006-12-07","2007-03-05","doi:10.6085/AA/PURXXX_015ADCP015R00_20061207.50.2",3,2007
"111",111,111,-124.100933,44.4991,"2005-06-22","2005-08-12","doi:10.6085/AA/SR15CX_015ADCP014R00_20050622.50.3",2,2005
"112",112,112,-122.08045,36.943421,"2002-04-16","2002-07-08","doi:10.6085/AA/TPT001_018ADCP018R00_20020416.50.4",1,2002
"113",113,113,-122.08045,36.943421,"2003-04-27","2003-07-23","doi:10.6085/AA/TPT001_018ADCP018R00_20030427.50.3",2,2003
"114",114,114,-121.9448,36.558,"2005-09-28","2005-12-29","doi:10.6085/AA/SWC001_022ADCP021R00_20050928.50.2",3,2005
"115",115,115,-121.9448,36.558,"2000-08-16","2000-09-21","doi:10.6085/AA/SWC001_022ADCP021R00_20000815.50.3",3,2000
"116",116,116,-124.057004,44.8589,"2003-05-20","2003-07-15","doi:10.6085/AA/LB15CX_015ADCP014R00_20030520.50.2",2,2003
"117",117,117,-120.48605,34.47385,"2002-04-23","2002-07-18","doi:10.6085/AA/JALXXX_015ADCP015R00_20020423.50.1",2,2002
"118",118,118,-124.120552,44.32,"2005-06-08","2005-06-30","doi:10.6085/AA/YB15CX_015ADCP014R00_20050608.50.4",2,2005
"119",119,119,-119.84111,34.06683,"2007-03-12","2007-05-23","doi:10.6085/AA/PROXXX_015ADCP015R00_20070312.50.4",1,2007
"120",120,120,-121.9448,36.558,"2001-09-05","2001-11-30","doi:10.6085/AA/SWC001_022ADCP021R00_20010831.50.2",3,2001
"121",121,121,-119.55941,34.05559,"2007-11-27","2008-03-05","doi:10.6085/AA/SCPXXX_015ADCP015R00_20071127.50.1",3,2008
"122",122,122,-120.63583,34.86919,"2005-02-26","2005-05-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20050226.50.2",1,2005
"123",123,123,-120.6276,34.72602,"2008-02-19","2008-05-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20080219.50.2",1,2008
"124",124,124,-124.102737,44.505,"2004-07-09","2004-09-09","doi:10.6085/AA/SR15XX_015ADCP014R00_20040709.50.4",2,2004
"125",125,125,-119.69665,34.03065,"2003-01-28","2003-04-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20030128.50.2",1,2003
"126",126,126,-122.15845,36.972121,"2006-03-08","2006-06-01","doi:10.6085/AA/SHB001_021ADCP020R00_20060308.50.4",1,2006
"127",127,127,-121.898647,36.62185,"2001-12-06","2002-03-04","doi:10.6085/AA/HMS001_020ADCP019R00_20011206.50.2",3,2002
"128",128,128,-119.93203,34.42403,"2000-09-01","2000-11-14","doi:10.6085/AA/ELLXXX_015ADCP015R00_20000901.50.4",3,2000
"129",129,129,-121.9448,36.558,"2001-11-30","2002-02-12","doi:10.6085/AA/SWC001_022ADCP021R00_20011129.50.3",3,2002
"130",130,130,-121.9448,36.5589,"2001-04-16","2001-06-21","doi:10.6085/AA/SWC001_022ADCP021R00_20010416.50.1",1,2001
"131",131,131,-119.69665,34.03065,"2002-07-09","2002-10-03","doi:10.6085/AA/PELXXX_015ADCP015R00_20020709.50.3",2,2002
"132",132,132,-122.08045,36.943421,"2003-04-27","2003-07-23","doi:10.6085/AA/TPT001_018ADCP018R00_20030427.50.4",2,2003
"133",133,133,-122.08045,36.943421,"2009-08-12","2009-11-10","doi:10.6085/AA/TPT001_018ADCP018R00_20090812.50.2",3,2009
"134",134,134,-119.69602,34.0313,"2004-04-02","2004-07-02","doi:10.6085/AA/PELXXX_015ADCP015R00_20040402.50.4",1,2004
"135",135,135,-121.898647,36.62185,"2006-06-12","2006-08-30","doi:10.6085/AA/HMS001_020ADCP019R00_20060612.50.3",2,2006
"136",136,136,-121.9448,36.5589,"2000-06-17","2000-07-18","doi:10.6085/AA/SWC001_022ADCP021R00_20000617.50.1",2,2000
"137",137,137,-122.15845,36.972121,"2005-06-25","2005-09-21","doi:10.6085/AA/SHB001_021ADCP020R00_20050625.50.3",2,2005
"138",138,138,-120.4871,34.47344,"2002-04-23","2002-07-18","doi:10.6085/AA/JALXXX_015ADCP015R00_20020423.50.3",2,2002
"139",139,139,-121.9448,36.558,"2004-04-11","2004-07-09","doi:10.6085/AA/SWC001_022ADCP021R00_20040409.50.2",1,2004
"140",140,140,-121.8996,36.6214,"2004-07-13","2004-10-09","doi:10.6085/AA/HMS001_020ADCP019R00_20040713.50.1",2,2004
"141",141,141,-120.6268,34.726483,"1999-09-04","1999-11-10","doi:10.6085/AA/PURXXX_015ADCP015R00_19990904.50.1",3,1999
"142",142,142,-122.0799,36.9442,"2001-06-18","2001-08-29","doi:10.6085/AA/TPT001_018ADCP018R00_20010618.50.1",2,2001
"143",143,143,-119.55941,34.05559,"2005-11-17","2006-02-12","doi:10.6085/AA/SCPXXX_015ADCP015R00_20051117.50.2",3,2005
"144",144,144,-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.10",2,2005
"145",145,145,-119.93203,34.42403,"1999-09-06","1999-10-20","doi:10.6085/AA/ELLXXX_015ADCP015R00_19990906.50.4",3,1999
"146",146,146,-122.08045,36.943421,"2006-07-14","2006-10-11","doi:10.6085/AA/TPT001_018ADCP018R00_20060714.50.4",2,2006
"147",147,147,-122.1579,36.9729,"2000-11-19","2000-11-24","doi:10.6085/AA/SHB001_021ADCP020R00_20001119.50.1",3,2000
"148",148,148,-124.065576,44.8419,"2000-07-06","2000-09-23","doi:10.6085/AA/FC15XX_015ADCP014R00_20000706.50.4",2,2000
"149",149,149,-120.6268,34.726483,"2004-11-22","2005-02-17","doi:10.6085/AA/PURXXX_015ADCP015R00_20041122.50.1",3,2005
"150",150,150,-124.127732,44.252,"2003-07-16","2003-09-11","doi:10.6085/AA/SH15CX_015ADCP014R00_20030716.50.2",2,2003
"151",151,151,-121.898647,36.62185,"2005-04-02","2005-06-23","doi:10.6085/AA/HMS001_020ADCP019R00_20050402.50.3",1,2005
"152",152,152,-121.898647,36.62185,"2006-03-13","2006-06-12","doi:10.6085/AA/HMS001_020ADCP019R00_20060313.50.2",1,2006
"153",153,153,-119.69602,34.0313,"2003-12-02","2004-02-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20031202.50.7",3,2004
"154",154,154,-120.6276,34.72602,"2001-02-15","2001-05-11","doi:10.6085/AA/PURXXX_015ADCP015R00_20010215.50.3",1,2001
"155",155,155,-122.15845,36.972121,"2003-10-31","2004-01-28","doi:10.6085/AA/SHB001_021ADCP020R00_20031031.50.3",3,2003
"156",156,156,-119.69602,34.0313,"2005-08-31","2005-11-14","doi:10.6085/AA/PELXXX_015ADCP015R00_20050831.50.4",3,2005
"157",157,157,-122.08045,36.943421,"2006-10-11","2007-01-09","doi:10.6085/AA/TPT001_018ADCP018R00_20061011.50.3",3,2006
"158",158,158,-120.6276,34.72602,"2002-11-27","2003-03-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20021127.50.4",3,2003
"159",159,159,-120.12842,33.89511,"2007-05-07","2007-08-02","doi:10.6085/AA/SRSXXX_015ADCP015R00_20070507.50.8",2,2007
"160",160,160,-119.84155,34.066,"2006-03-13","2006-06-01","doi:10.6085/AA/PROXXX_015ADCP015R00_20060313.50.1",1,2006
"161",161,161,-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.9",2,2005
"162",162,162,-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.6",2,2005
"163",163,163,-120.63583,34.86919,"2000-12-05","2001-02-05","doi:10.6085/AA/PTSXXX_015ADCP015R00_20001205.50.4",3,2001
"164",164,164,-119.84155,34.066,"2005-12-08","2006-03-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20051208.50.1",3,2006
"165",165,165,-121.8996,36.6214,"2001-12-06","2002-03-04","doi:10.6085/AA/HMS001_020ADCP019R00_20011206.50.1",3,2002
"166",166,166,-119.85566,33.96617,"2006-06-09","2006-08-31","doi:10.6085/AA/MORXXX_015ADCP015R00_20060609.50.3",2,2006
"167",167,167,-121.898647,36.62185,"2000-04-24","2000-05-30","doi:10.6085/AA/HMS001_020ADCP019R00_20000421.50.3",1,2000
"168",168,168,-121.9448,36.558,"2004-07-09","2004-10-12","doi:10.6085/AA/SWC001_022ADCP021R00_20040709.50.4",2,2004
"169",169,169,-122.08045,36.943421,"2003-01-20","2003-04-27","doi:10.6085/AA/TPT001_018ADCP018R00_20030120.50.5",1,2003
"170",170,170,-124.1196,44.32,"2005-06-08","2005-06-30","doi:10.6085/AA/YB15CX_015ADCP014R00_20050608.50.1",2,2005
"171",171,171,-119.69665,34.03065,"2003-01-28","2003-04-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20030128.50.1",1,2003
"172",172,172,-120.6268,34.726483,"2002-11-27","2003-03-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20021127.50.1",3,2003
"173",173,173,-121.898647,36.62185,"2004-04-19","2004-07-13","doi:10.6085/AA/HMS001_020ADCP019R00_20040419.50.3",3,2004
"174",174,174,-124.126832,44.2521,"2001-05-05","2001-07-07","doi:10.6085/AA/SH15CX_015ADCP014R00_20010505.50.4",2,2001
"175",175,175,-119.85566,33.96617,"2005-09-12","2005-12-05","doi:10.6085/AA/MORXXX_015ADCP015R00_20050912.50.4",3,2005
"176",176,176,-121.9448,36.558,"2000-11-21","2001-01-17","doi:10.6085/AA/SWC001_022ADCP021R00_20001117.50.3",3,2000
"177",177,177,-121.9448,36.5589,"2001-03-08","2001-04-16","doi:10.6085/AA/SWC001_022ADCP021R00_20010308.50.1",1,2001
"178",178,178,-119.55941,34.05559,"2007-04-23","2007-05-25","doi:10.6085/AA/SCPXXX_015ADCP015R00_20070423.50.3",1,2007
"179",179,179,-124.1268,44.252,"2003-05-12","2003-07-16","doi:10.6085/AA/SH15CX_015ADCP014R00_20030512.50.1",2,2003
"180",180,180,-120.4871,34.47344,"2000-12-27","2001-02-05","doi:10.6085/AA/JALXXX_015ADCP015R00_20001227.50.3",3,2001
"181",181,181,-122.15845,36.972121,"2004-07-15","2004-10-07","doi:10.6085/AA/SHB001_021ADCP020R00_20040715.50.4",2,2004
"182",182,182,-121.8996,36.6214,"2006-03-13","2006-06-12","doi:10.6085/AA/HMS001_020ADCP019R00_20060313.50.1",1,2006
"183",183,183,-120.4871,34.47344,"2003-09-02","2003-11-06","doi:10.6085/AA/JALXXX_015ADCP015R00_20030902.50.2",3,2003
"184",184,184,-120.63583,34.86919,"2005-11-01","2006-02-22","doi:10.6085/AA/PTSXXX_015ADCP015R00_20051101.50.2",3,2005
"185",185,185,-122.15845,36.972121,"2005-09-21","2005-12-14","doi:10.6085/AA/SHB001_021ADCP020R00_20050921.50.4",3,2005
"186",186,186,-124.127332,44.2516,"2002-07-17","2002-09-03","doi:10.6085/AA/SH15CX_015ADCP014R00_20020717.50.4",2,2002
"187",187,187,-122.08045,36.943421,"2001-11-09","2002-01-24","doi:10.6085/AA/TPT001_018ADCP018R00_20011109.50.2",3,2001
"188",188,188,-124.127332,44.2516,"2002-06-25","2002-07-16","doi:10.6085/AA/SH15CX_015ADCP014R00_20020625.50.3",2,2002
"189",189,189,-120.4871,34.47344,"2004-05-26","2004-07-29","doi:10.6085/AA/JALXXX_015ADCP015R00_20040526.50.2",2,2004
"190",190,190,-120.6276,34.72602,"2004-11-22","2005-02-17","doi:10.6085/AA/PURXXX_015ADCP015R00_20041122.50.3",3,2005
"191",191,191,-122.15845,36.972121,"2002-07-07","2002-09-18","doi:10.6085/AA/SHB001_021ADCP020R00_20020705.50.3",2,2002
"192",192,192,-120.63583,34.86919,"2003-09-02","2003-11-06","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030902.50.2",3,2003
"193",193,193,-124.075737,44.8162,"2000-07-06","2000-09-21","doi:10.6085/AA/DBN15X_015ADCP014R00_20000706.50.2",2,2000
"194",194,194,-120.12842,33.89511,"2008-02-27","2008-05-29","doi:10.6085/AA/SRSXXX_015ADCP015R00_20080227.50.2",1,2008
